"","MOIS_CD","DEPOPULATING","index.01","index.02","index.03","index.04","index.05","index.06.cultural","index.06.sports"
"1",11110,0,17.3076923076923,3.37032470201397,0,0,3.88435407062336,4.56169695126587,1.93526537326431
"2",11140,0,17.6578039374873,4.20596482283966,0,0,5.33065576045519,2.28573294475873,1.22449979183504
"3",11170,0,13.1313131313131,1.94898251648037,0,0,1.9376281099604,0.852197548362211,0.852197548362211
"4",11200,0,12.8707696328237,1.92821771330908,0.262295081967213,0,2.07000244763803,0.524493863421798,0.734291408790517
"5",11215,0,15.3011230873596,1.50422207787768,0,0,2.04414169578466,0.294121107307145,2.2353204155343
"6",11230,0,15.1305835142425,1.87803800265135,0,0,2.34439834024896,0.38529934795495,1.27445168938945
"7",11260,0,15.3301166554694,1.68072765620881,0.214054840850226,0.279485746226942,1.76842648767265,0.154898670453079,2.50419517232477
"8",11290,0,14.2063300314086,1.50174812868104,0,0,1.48422402259551,0.557455031960755,3.27504831276944
"9",11305,0,15.5980861244019,1.63305299256961,0,0,2.13916612630439,0.434518119405579,4.01093648682073
"10",11320,0,18.3078840760361,1.75321715347663,0,0,1.58176994385032,0.378112337175375,2.83584252881531
"11",11350,0,19.3272871356872,1.69939577039275,0,0,1.77706103852386,0.391423136238737,4.01208714644705
"12",11380,0,13.7208968781374,1.54735357029081,0,0,1.8867246839789,0.359174911843687,0.781733631659789
"13",11410,0,11.6583885209713,1.67423171366917,0,0,1.80434946640465,0.426482601150191,4.10079424182876
"14",11440,0,12.2502313932597,1.48489348162066,0,0,2.39357016033938,0.352394247841585,2.65651048372887
"15",11470,0,15.1988636363636,1.17472273088484,0,0,2.18867789547107,0.290631385506883,2.86160133422162
"16",11500,0,15.5386492499821,1.58708912557126,0,0,1.87701870924493,0.243768663538302,2.4899227775698
"17",11530,0,17.2775391990412,1.59398838665604,0,0,1.86765602867268,0.403272556798419,3.22618045438735
"18",11545,0,18.3162308286439,2.17286335103815,0,0,2.01030280185953,0.346603931355091,3.11943538219582
"19",11560,0,14.1452038126141,1.56947544642857,0,0,2.59263288902098,0.318440068252321,1.61873701361597
"20",11590,0,13.8505714768313,1.42866016522765,0.400328269180728,0.301568154402895,1.97155257170874,0.233473330860245,2.72385552670286
"21",11620,0,16.3469777865665,1.79646380283022,0,0,1.79946839503478,0.247066598860611,2.8824436533738
"22",11650,0,8.97346974163343,1.0732846275514,0,0,3.49035483252846,0.485108385340995,4.17193211393256
"23",11680,0,9.85483541198119,1.23897885091915,0,0,5.60743806304194,0.506526690204524,4.89642467197707
"24",11710,0,11.5504824025003,1.32923005793709,0,0,2.19492114992603,0.33417484635552,1.64049470029073
"25",11740,0,11.2415024116061,1.40905209222886,0,0,2.75794096795947,0.280981446578943,0.907786212024277
"26",26110,2,24.6913580246914,5.50711335474989,0,0,6.34192083703484,1.72737143421183,3.94827756391274
"27",26140,1,12.5156445556946,3.33452423484578,0,0,1.96835418964665,0.665627020653455,6.94153892967175
"28",26170,1,14.7347740667976,4.18555981862574,0,0,2.69163653782548,1.02647156103514,10.2647156103514
"29",26200,1,16.1559888579387,4.08359356233485,0,0,1.94327446266201,0.723078869827726,4.15770350150943
"30",26230,0,13.3342005984129,2.85147963973989,0,0,3.65274564714477,0.311474435027849,5.94633012325893
"31",26260,0,11.0693097959774,2.24291442941616,0,0,2.50312891113892,0.262303927813959,0.786911783441877
"32",26290,0,13.2575757575758,2.11158035118915,0.255506157698401,0,1.930789219633,0.496052566308873,2.13684182409976
"33",26320,0,15.2404121350887,2.49916072960573,0,0,1.94554590040641,0.353093629837824,1.8007775121729
"34",26350,0,11.9429947812124,1.79191144781908,0,0,1.89184689661435,0.302695503458296,2.52246252881913
"35",26380,0,16.726579121121,2.49922968947927,0,0.802851729342625,1.81370770874795,0.228755927229472,1.40521498155247
"36",26410,2,13.3647798742138,2.69607843137255,1.70625170625171,1.78567885557826,1.93379493003697,0.438502251709063,4.64812386811606
"37",26440,0,10.670633124232,2.50087239734791,0,0,1.00057375558012,0.279880770791643,8.74627408723884
"38",26470,0,10.6601832803441,1.89626896268963,0,0,2.02757502027575,0.144826787162554,1.15861429730043
"39",26500,0,12.0861797162375,1.89919649379109,0,0,2.30731888403438,0.285559267826037,2.79848082469517
"40",26530,0,17.5250357653791,2.48713054543351,0,0,1.51225647869879,0.240040710904569,3.69662694793037
"41",26710,0,15.4482158398607,1.99645075421473,0,0,1.20818630910374,0.395201129146083,9.65419901199718
"42",27110,0,12.758356723654,3.77916529740388,0,0,9.07863245577676,1.47076519902127,4.41229559706382
"43",27140,0,14.2592794165669,1.91649125011782,0.199191283389439,0.709733282232537,1.98865966096135,0.380744854086857,1.49369135064844
"44",27170,1,20.9466263846929,2.85210972233873,0,0,2.4190411358553,0.486239424292522,4.0114752504133
"45",27200,1,13.672696676483,2.37687773340939,3.27396542692509,0.288900444906685,2.89156626506024,0.558756766195216,3.35254059717129
"46",27230,0,13.652018755965,1.71429723897304,0,0,1.88783729359646,0.343243144290265,1.69333284516531
"47",27260,0,10.7859782283032,1.47326458098622,0,0,2.78592269903644,0.359628575607113,2.80510288973548
"48",27290,0,13.668430335097,2.00355831957557,0,0,2.27003299530578,0.311968964593358,3.37660526383399
"49",27710,0,10.8335571671591,2.12085617332289,0,0,1.64221130801559,0.304818804272036,1.82891282563221
"50",28110,0,14.2340713962946,2.63223865630484,0,0,1.24623171555283,1.32281578745831,7.31029777279594
"51",28140,0,21.6383307573416,2.93609671848014,0,0,1.69144195426601,0.813193247243275,6.99346192629216
